ID,Time_Abs,Time_Rel,X,Y,P_Raw,Thickness,Bloc,Trial_in_Bloc,R,W
VIRTUAL_NOV_02,1600000000.0,0.0,399.3674646065414,452.7980106561077,3184.7521252284823,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.0083473,0.007762736010189553,403.2415527989683,458.3501065234726,3002.8785038547976,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.0166943,0.015525472020379107,401.7183718032403,444.64523338000515,2913.452624196242,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.0250418,0.023288208030568656,409.64482796835995,447.70661838183094,3061.8225035365213,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.033389,0.031050944040758303,418.8214534795498,459.43649444501705,2749.0510283302947,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.041736,0.03881368005094785,426.065344381302,453.9347887534961,2988.3057300758583,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.0500834,0.04657641606113741,430.16107565385136,447.88393471241085,3043.210650860841,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.058431,0.05433915207132696,422.7136703436765,440.0921676311425,3130.5341093767065,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.066778,0.06210188808151661,427.3315894713966,438.0481391843413,2936.095017863778,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.0751252,0.06986462409170616,439.64779425747037,447.6677765092461,2958.086108219144,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.0834725,0.0776273601018957,451.8583691820198,440.58519600702965,3103.242451675386,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.0918198,0.08539009611208527,433.3018602511909,447.9382483211905,3007.544766403213,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.100167,0.09315283212227482,444.96431112959255,447.28363210824364,3041.4159392826123,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.1085143,0.10091556813246445,436.94029809488785,437.1227369944162,3011.405038982656,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.116861,0.10867830414265402,467.7667225605337,436.7381819077933,2900.6988880841777,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.1252086,0.11644104015284355,455.324086576172,443.9333434481087,3003.725463144761,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.133556,0.12420377616303321,471.73934779145173,431.03595759722725,3135.826513513038,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.1419032,0.13196651217322278,471.1206473536063,427.30921756109615,3001.898298186336,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.1502504,0.1397292481834123,457.44914014072424,435.96662258545143,3116.058165454353,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.1585977,0.14749198419360188,462.06045260514657,434.87743019772586,3005.3806273919595,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.166945,0.15525472020379152,485.92387020288265,430.8642812508245,2879.9002278375765,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.1752925,0.16301745621398106,467.59824687789865,436.49096777413337,2879.314305427834,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.1836393,0.17078019222417062,484.0550177395401,418.73636014234455,3062.205958257132,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.1919866,0.1785429282343602,495.81341812940406,425.8038331842686,2930.484211739976,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.2003338,0.18630566424454972,476.75292717510945,411.64381674611246,3166.9124657065167,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.208681,0.19406840025473937,506.85312355943626,417.16897820208635,3002.099858626288,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.2170284,0.2018311362649289,501.399303456679,417.56949609713257,2914.3556416190627,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.2253757,0.2095938722751185,495.74618479551214,408.7568735541061,2958.2629580830185,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.233723,0.21735660828530803,504.4017690179823,413.22267337232637,2930.7555438202853,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.2420702,0.22511934429549768,510.5770456742455,412.2515546118271,2983.3601538659523,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.2504177,0.23288208030568722,504.3650261234171,412.7312232148466,2774.071611116249,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.2587645,0.24064481631587678,501.48376130740814,413.21759994840534,3003.8331104137906,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.2671118,0.24840755232606643,514.2046597291708,391.7676761392768,3096.516023277615,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.275459,0.25617028833625594,512.2076531012283,385.8036770882452,2969.654778289412,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.2838063,0.26393302434644555,525.4871455524128,386.07704105286854,3019.910057859239,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.2921536,0.2716957603566352,520.6375648825357,396.6212000277036,2945.538687412461,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.3005009,0.2794584963668246,514.3995057376592,389.9208533154497,2814.0080402958592,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.308848,0.2872212323770143,526.3361686419754,385.3385208979671,3146.508717088307,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.3171954,0.29498396838720387,530.1975198816037,386.70251609008653,3080.503319932663,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.3255427,0.3027467043973934,535.0047028957265,375.08512812987595,2807.92891427366,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.3338895,0.31050944040758305,524.1347764848766,370.31767665232417,3117.73884857856,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.342237,0.31827217641777256,538.5679252518362,377.45033717847605,2990.12777499431,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.3505845,0.3260349124279621,548.2931862733078,371.63626324197514,3119.826319664408,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.3589315,0.3337976484381518,557.7718801304103,361.04440788111503,2963.745590553712,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.3672788,0.3415603844483413,535.4773569286663,361.1486044575189,2938.6133354938947,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.375626,0.3493231204585309,533.5079633128096,355.1484322558916,2980.250160664072,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.3839734,0.35708585646872043,539.6172890016053,340.99613272907425,2977.7620504967613,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.3923206,0.36484859247891,540.4740752136828,360.208226823802,2925.710106756088,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.4006677,0.37261132848909956,541.5396257639326,343.28966516837914,2765.972913613143,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.409015,0.3803740644992892,549.6126816927369,345.8341179793861,3198.7676127298982,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.4173622,0.38813680050947874,545.6728989267114,335.58014283849565,3076.008297147398,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.4257095,0.3958995365196683,551.9120608776656,334.2074617838272,3111.322974138066,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.4340568,0.4036622725298579,538.5326094299546,333.54624234907874,2991.843332616007,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.442404,0.4114250085400475,535.3274759613652,340.44042546113957,2921.419537925556,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.4507513,0.41918774455023705,551.8567304133394,323.03605812513547,3125.621803949368,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.4590986,0.42695048056042667,549.1560952212811,328.34075842390723,3253.5543316986355,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.467446,0.4347132165706162,542.3988449350862,327.8632067704356,2976.14165626101,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.475793,0.4424759525808058,547.7772109293018,317.5635365361056,3127.6990094927223,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.4841402,0.45023868859099536,546.1082441627453,301.74313099945164,3032.5227266906318,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.4924874,0.4580014246011849,547.0343306967725,306.8263285874362,3066.387075552152,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.5008347,0.46576416061137454,551.2364774702942,298.9893940467,3033.675556888165,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.509182,0.4735268966215641,554.7534948079985,305.7353793666288,2814.384921511209,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.5175292,0.4812896326317536,546.6798444932176,293.5382901083184,2957.647285094516,4,VP,1,250,100
VIRTUAL_NOV_02,1600000000.5258763,0.4890523686419433,558.2401622697131,295.3138711926879,2727.117821301484,4,VP,1,250,100
